MnuNo,MenuOpt,MnuName,MnuCap,MnuPgm,ExeName,MnuWght,AllowWhenTrnClosed,pgmopt,DbInfo,MenuIcon,Menusep,MenuBold,MultiInstance,SourceFile
380,384,Purchase Order,Foreclosure,P,SE127800.exe,0,0,2,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
380,385,Purchase Order,Reopen,P,SE127800.exe,0,0,3,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
380,386,Purchase Order,Export,P,SE127800.exe,0,0,4,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
380,387,Purchase Order,Reprint,P,SE127800.exe,0,0,5,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
380,388,Purchase Order,Status Report,P,SE201200.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
380,389,Purchase Order,PO/Indent Conversion,P,SE101000.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
380,390,Purchase Order,Purchase Order Configuration,P,SE100280.exe,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
400,410,Reports,Sales,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
400,430,Reports,Stock,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
400,450,Reports,Stock Registers,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
400,460,Reports,Cash,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
400,470,Reports,MIS,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
400,900,Reports,Analysis Reports,M,,0,0,0,0,,0,0,0,ZIP:SH9_015_EE_4_21.S9Q
410,411,Sales,Daily Sales Book,P,SR213600.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
410,412,Sales,Bill-wise Sales,P,SR202400.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
410,413,Sales,Item-wise Sales,P,SR202200.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
410,414,Sales,Tax Register,P,SR202300.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
410,415,Sales,Bill-wise Items,P,SR202000.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
410,416,Sales,Discount Given,P,SR202100.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
410,418,Sales,Top Selling Items,P,SR209600.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
410,419,Sales,Salesperson Sales,P,SR210000.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
410,420,Sales,Cancelled Bills,P,SR210100.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
410,421,Sales,Returned Bills,P,SR210200.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
410,422,Sales,Attribute + Size wise,P,SR236300.Exe,0,1,2,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
410,423,Sales,Day-wise Sales Summary,P,SR209500.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
